n,claimed_value,N,expected,result,rounds,blocking_constraints,time_seconds,check,source_file
3,5,4,SAT,SAT,2,1,0.002209,PASSED,n3_N4_SAT.txt
3,5,5,UNSAT,UNSAT,4,3,0.002726,PASSED,n3_N5_UNSAT.txt
4,6,5,SAT,SAT,2,1,0.001487,PASSED,n4_N5_SAT.txt
4,6,6,UNSAT,UNSAT,6,5,0.003942,PASSED,n4_N6_UNSAT.txt
5,7,6,SAT,SAT,2,1,0.001632,PASSED,n5_N6_SAT.txt
5,7,7,UNSAT,UNSAT,12,11,0.007375,PASSED,n5_N7_UNSAT.txt
6,8,7,SAT,SAT,1,0,0.000795,PASSED,n6_N7_SAT.txt
6,8,8,UNSAT,UNSAT,16,15,0.012095,PASSED,n6_N8_UNSAT.txt
7,10,9,SAT,SAT,6,5,0.006150,PASSED,n7_N9_SAT.txt
7,10,10,UNSAT,UNSAT,26,25,0.029934,PASSED,n7_N10_UNSAT.txt
8,11,10,SAT,SAT,5,4,0.006145,PASSED,n8_N10_SAT.txt
8,11,11,UNSAT,UNSAT,37,36,0.044944,PASSED,n8_N11_UNSAT.txt
9,12,11,SAT,SAT,6,5,0.009752,PASSED,n9_N11_SAT.txt
9,12,12,UNSAT,UNSAT,59,58,0.090367,PASSED,n9_N12_UNSAT.txt
10,13,12,SAT,SAT,7,6,0.011392,PASSED,n10_N12_SAT.txt
10,13,13,UNSAT,UNSAT,81,80,0.143745,PASSED,n10_N13_UNSAT.txt
11,14,13,SAT,SAT,6,5,0.011297,PASSED,n11_N13_SAT.txt
11,14,14,UNSAT,UNSAT,156,155,0.308480,PASSED,n11_N14_UNSAT.txt
12,15,14,SAT,SAT,11,10,0.021855,PASSED,n12_N14_SAT.txt
12,15,15,UNSAT,UNSAT,194,193,0.450703,PASSED,n12_N15_UNSAT.txt
13,17,16,SAT,SAT,32,31,0.078849,PASSED,n13_N16_SAT.txt
13,17,17,UNSAT,UNSAT,334,333,0.986190,PASSED,n13_N17_UNSAT.txt
14,18,17,SAT,SAT,34,33,0.093399,PASSED,n14_N17_SAT.txt
14,18,18,UNSAT,UNSAT,437,436,1.522928,PASSED,n14_N18_UNSAT.txt
15,19,18,SAT,SAT,48,47,0.146837,PASSED,n15_N18_SAT.txt
15,19,19,UNSAT,UNSAT,756,755,3.764294,PASSED,n15_N19_UNSAT.txt
16,20,19,SAT,SAT,26,25,0.094906,PASSED,n16_N19_SAT.txt
16,20,20,UNSAT,UNSAT,972,971,5.559469,PASSED,n16_N20_UNSAT.txt
17,21,20,SAT,SAT,16,15,0.063799,PASSED,n17_N20_SAT.txt
17,21,21,UNSAT,UNSAT,1377,1376,24.792561,PASSED,n17_N21_UNSAT.txt
18,22,21,SAT,SAT,22,21,0.096121,PASSED,n18_N21_SAT.txt
18,22,22,UNSAT,UNSAT,1796,1795,43.517576,PASSED,n18_N22_UNSAT.txt
19,23,22,SAT,SAT,123,122,0.573056,PASSED,n19_N22_SAT.txt
19,23,23,UNSAT,UNSAT,3024,3023,329.235425,PASSED,n19_N23_UNSAT.txt
20,24,23,SAT,SAT,14,13,0.075109,PASSED,n20_N23_SAT.txt
20,24,24,UNSAT,UNSAT,3635,3634,767.021970,PASSED,n20_N24_UNSAT.txt
